Ward Code,AvPTAI2015
E05000405,1.7430830000000002
E05000414,3.6447879999999997
E05000401,5.655172
E05000400,3.933086
E05000402,7.062827
E05000406,3.5022519999999995
E05000404,4.157895
E05000413,8.163636
E05000410,5.944751
E05000412,11.095588000000001
E05000408,15.8
E05000403,12.335999999999999
E05000409,9.414814999999999
E05000407,4.930818
E05000411,5.065421
E05000415,3.9225809999999997
E05000150,1.9753889999999998
E05000162,2.225
E05000151,4.631263
E05000167,8.563187
E05000156,2.430556
E05000159,5.864286
E05000160,1.8144650000000002
E05000155,4.0379309999999995
E05000153,26.476064
E05000149,16.674157
E05000168,7.0913710000000005
E05000148,10.180556
E05000158,7.568092999999999
E05000157,6.911764999999999
E05000152,6.941503999999999
E05000154,7.835616
E05000163,3.438596
E05000161,12.730089
E05000147,6.9589550000000004
E05000169,10.842592999999999
E05000165,8.97006
E05000166,6.77907
E05000164,11.145833
E05000146,18.264151000000002
E05000117,0.36570199999999997
E05000119,2.456302
E05000108,3.5527269999999995
E05000110,1.34689
E05000107,1.323706
E05000127,3.869074
E05000112,12.892241
E05000120,5.216374
E05000118,3.737892
E05000126,5.161943
E05000109,14.913279000000001
E05000106,4.860656
E05000124,6.87703
E05000116,14.25
E05000123,11.905405
E05000113,8.605422
E05000125,5.167082
E05000111,2.901341
E05000121,4.119342
E05000122,6.424171
E05000115,4.635443
E05000114,1.601509
E05000346,2.376682
E05000353,3.334375
E05000350,4.240741000000001
E05000364,8.191489
E05000357,3.483029
E05000356,4.937799
E05000363,3.734921
E05000347,7.867508
E05000348,6.4234230000000005
E05000352,2.6372240000000002
E05000354,4.794038
E05000351,7.529412
E05000359,5.7335769999999995
E05000361,12.420732000000001
E05000355,7.137725
E05000360,4.619318
E05000362,4.317308000000001
E05000358,19.494253
E05000349,5.860576999999999
E05000365,14.225989000000002
E05000186,3.688654
E05000190,7.067900999999999
E05000185,3.7277940000000003
E05000172,7.696833
E05000177,8.948617
E05000183,4.6746989999999995
E05000182,9.548387
E05000175,12.104019000000001
E05000189,8.79375
E05000176,8.99005
E05000192,12.455172
E05000181,5.9084970000000006
E05000184,7.974819999999999
E05000180,7.311404
E05000171,7.3090910000000004
E05000178,7.3323350000000005
E05000187,6.204748
E05000174,12.155660000000001
E05000173,19.983871
E05000188,15.40678
E05000191,9.802817
E05000170,8.123596000000001
E05000179,10.487879
E05000323,1.0013319999999999
E05000318,0.85003
E05000321,2.705968
E05000308,3.553425
E05000306,5.864929
E05000319,16.020833
E05000316,4.296053
E05000317,3.24173
E05000311,5.417004
E05000320,8.854478
E05000309,2.509761
E05000322,6.387218
E05000312,2.211921
E05000307,3.115854
E05000313,1.092857
E05000314,2.997093
E05000310,1.943299
E05000315,3.5689660000000005
E05000331,3.98766
E05000330,0.583879
E05000342,3.783237
E05000345,4.2134
E05000341,4.7258059999999995
E05000326,5.9696050000000005
E05000340,4.993562
E05000332,2.143251
E05000333,2.340909
E05000343,4.144144
E05000335,2.3978200000000003
E05000338,3.165997
E05000334,8.668341999999999
E05000329,3.103704
E05000336,3.927492
E05000337,5.1223019999999995
E05000325,6.336406
E05000328,3.535836
E05000339,5.525714
E05000324,4.577465
E05000344,2.8589740000000003
E05000327,4.646465
E05000302,8.409091
E05000289,7.297753
E05000297,3.003021
E05000298,4.4572650000000005
E05000288,20.027932999999997
E05000292,5.0270269999999995
E05000296,11.715152
E05000290,3.3144099999999996
E05000303,2.38
E05000286,3.298561
E05000300,9.235294
E05000301,7.0065789999999994
E05000305,10.006623
E05000291,3.6625389999999998
E05000293,8.144828
E05000295,6.8920449999999995
E05000304,8.661157000000001
E05000285,3.642458
E05000294,5.382813
E05000299,5.098765
E05000287,7.5
E05000096,7.528302
E05000104,14.701863000000001
E05000097,8.843882
E05000100,8.007407
E05000103,5.296137
E05000086,6.592592999999999
E05000090,5.187266
E05000101,9.336538000000001
E05000085,7.663415
E05000092,14.070175
E05000091,12.0
E05000105,12.352941
E05000098,17.437085999999997
E05000087,11.188235
E05000094,21.11828
E05000102,9.864286
E05000093,6.451327
E05000089,10.094118
E05000088,5.876068
E05000095,13.20979
E05000099,7.788177
E05000060,4.12
E05000056,2.548854
E05000062,9.833828
E05000053,9.510067
E05000046,6.137405
E05000045,14.141479
E05000052,5.2896410000000005
E05000051,6.937728999999999
E05000049,4.7251
E05000050,4.77957
E05000057,3.086957
E05000054,3.332103
E05000059,3.235429
E05000058,7.720721000000001
E05000063,6.313208
E05000047,6.505535
E05000043,5.77709
E05000048,5.1229949999999995
E05000044,11.270531
E05000055,5.926316
E05000061,11.061905
E05000431,11.700599
E05000428,22.165517
E05000432,13.266667000000002
E05000424,12.613793
E05000433,9.923810000000001
E05000430,19.65873
E05000418,15.176923
E05000417,18.208696
E05000435,15.287129
E05000420,26.966666999999998
E05000421,29.0
E05000425,19.838095000000003
E05000426,35.857143
E05000436,14.408695999999999
E05000422,10.700637
E05000434,18.038960999999997
E05000423,15.62439
E05000416,83.457516
E05000419,20.522123999999998
E05000429,22.340909
E05000427,31.694215000000003
E05000538,7.055385
E05000548,31.819549
E05000554,9.717857
E05000551,14.53125
E05000539,12.627450999999999
E05000547,8.361233
E05000535,22.135417
E05000534,14.333332999999998
E05000553,25.669014
E05000545,13.984848000000001
E05000546,15.072289000000001
E05000544,29.135802
E05000541,15.428571
E05000540,26.434783000000003
E05000543,12.131034
E05000550,11.424242
E05000536,80.867816
E05000542,31.421488
E05000549,20.701987
E05000552,8.074074000000001
E05000537,56.158537
E05000437,6.153595
E05000453,19.831169
E05000442,7.347107
E05000454,5.9411760000000005
E05000438,17.776823999999998
E05000452,12.355556
E05000444,11.545455
E05000450,9.029411999999999
E05000451,17.631285000000002
E05000440,9.508021000000001
E05000441,11.781609
E05000446,14.45
E05000448,25.165829000000002
E05000439,22.845238000000002
E05000449,16.934426000000002
E05000445,8.092437
E05000447,10.225275
E05000443,8.174157000000001
E05000224,5.2852760000000005
E05000217,6.595331
E05000219,7.5118789999999995
E05000227,4.122667
E05000225,9.706935000000001
E05000230,14.550459
E05000222,12.952899
E05000220,9.131148
E05000215,10.130841
E05000223,4.684874
E05000218,8.698473
E05000216,11.8867
E05000229,12.426414999999999
E05000226,7.116378999999999
E05000221,11.987952
E05000228,4.443299
E05000214,7.0410449999999996
E05000078,6.034221
E05000066,3.4397589999999996
E05000072,2.0625
E05000083,7.692593
E05000081,4.874715
E05000071,3.4710330000000003
E05000079,2.499109
E05000075,4.158996
E05000065,4.310345
E05000084,2.6625509999999997
E05000076,6.7380949999999995
E05000074,6.341014
E05000067,3.401914
E05000073,5.8333330000000005
E05000069,9.478599
E05000082,3.9103449999999995
E05000068,6.9292929999999995
E05000080,3.5340910000000005
E05000064,6.872414
E05000070,4.5625
E05000077,6.1148940000000005
E05000195,0.7561979999999999
E05000213,5.938628
E05000196,3.014437
E05000202,3.83301
E05000212,7.503788
E05000205,5.968912
E05000197,8.913461999999999
E05000204,6.088785
E05000200,7.641336999999999
E05000203,2.6633419999999997
E05000206,5.465909
E05000198,3.37797
E05000193,11.064935
E05000209,11.160919999999999
E05000208,7.9736839999999995
E05000201,6.909091
E05000194,5.763780000000001
E05000210,7.884792999999999
E05000207,7.512281
E05000211,4.707965
E05000199,4.2307690000000004
E05000604,8.575
E05000599,8.051948
E05000600,4.595745
E05000607,5.207921
E05000593,4.964674
E05000591,17.76699
E05000603,6.552632
E05000606,11.383562
E05000596,15.933333
E05000595,10.743719
E05000608,9.814433
E05000601,18.693694
E05000609,7.794594999999999
E05000592,6.2692309999999996
E05000597,4.306383
E05000590,8.095238
E05000602,5.6568629999999995
E05000594,4.276382
E05000598,4.025316
E05000605,20.723077
E05000515,4.349515
E05000502,9.643154
E05000510,7.038647
E05000511,4.60084
E05000503,6.0
E05000505,9.375758
E05000495,2.297674
E05000497,4.219608
E05000506,2.270796
E05000507,10.929688
E05000501,12.992308
E05000508,5.2810809999999995
E05000514,15.414473999999998
E05000512,7.5761899999999995
E05000513,11.438424000000001
E05000500,4.610442
E05000499,7.198676
E05000496,8.688312
E05000504,4.509174
E05000498,5.701987
E05000509,4.769481
E05000559,1.6760560000000002
E05000560,3.0431470000000003
E05000556,3.019802
E05000562,6.786667
E05000571,4.831683
E05000557,4.493562
E05000561,4.7239580000000005
E05000572,4.479592
E05000566,10.811024
E05000567,11.234637
E05000564,18.584615
E05000558,8.524510000000001
E05000565,8.497355
E05000563,4.295918
E05000568,5.863946
E05000570,7.794117999999999
E05000569,8.426829
E05000555,3.976096
E05000520,2.925439
E05000530,3.846868
E05000522,5.298893
E05000523,3.484536
E05000531,12.346734
E05000519,1.4888649999999999
E05000526,9.528369
E05000524,4.861972
E05000517,1.659829
E05000525,8.87766
E05000521,3.719388
E05000518,6.552632
E05000532,5.770492
E05000533,4.962962999999999
E05000529,9.526316
E05000527,7.787128999999999
E05000528,10.175373
E05000516,6.44186
E05000456,6.5270269999999995
E05000458,8.036913
E05000472,2.370607
E05000474,7.275556
E05000465,3.3027029999999997
E05000473,6.387435
E05000469,10.293478
E05000459,21.684210999999998
E05000470,7.7692309999999996
E05000468,9.295699
E05000466,13.104396000000001
E05000455,17.9
E05000460,12.37931
E05000467,4.737089
E05000461,8.292135
E05000464,6.2721089999999995
E05000462,22.15
E05000471,15.900901000000001
E05000463,7.486957
E05000457,14.234233999999999
E05000621,4.884615
E05000625,15.260417000000002
E05000627,7.420863000000001
E05000628,7.339286
E05000629,6.516304
E05000613,14.5125
E05000616,20.872549
E05000626,16.358025
E05000624,10.611464999999999
E05000612,13.262773999999999
E05000618,20.88
E05000615,7.542254
E05000611,11.21978
E05000610,17.32
E05000614,24.675862
E05000619,30.25
E05000617,36.953703999999995
E05000622,12.929078
E05000620,12.176101
E05000623,31.095745
E05000259,10.33557
E05000257,11.419355
E05000262,9.471014
E05000260,17.146067000000002
E05000254,20.279412
E05000261,14.408
E05000256,34.783019
E05000252,28.277778
E05000251,9.962025
E05000265,7.613636
E05000263,28.590909000000003
E05000253,9.964808999999999
E05000264,17.492307999999998
E05000255,14.791209
E05000258,21.84375
E05000250,30.927273
E05009391,14.285714000000002
E05009397,23.484848
E05009398,26.392157
E05009402,25.810810999999998
E05009405,24.767123
E05009403,18.892157
E05009399,12.425925999999999
E05009404,14.895832999999998
E05009392,21.480769
E05009394,10.022472
E05009396,15.947367999999999
E05009395,37.895833
E05009393,33.901639
E05009388,27.596490999999997
E05009401,24.610169
E05009389,31.122642
E05009390,26.931372999999997
E05009400,33.102564
E05000644,66.445087
E05000638,36.412698
E05000637,27.150418
E05000636,52.90625
E05000633,26.758065000000002
E05000646,42.144928
E05000649,65.030303
E05000635,20.897959
E05000632,62.32
E05000643,14.671053
E05000630,18.592593
E05000641,55.574256999999996
E05000642,18.192982
E05000631,27.102040999999996
E05000647,64.73684200000001
E05000645,33.5
E05000648,19.134328
E05000639,26.746032
E05000640,18.723077
E05000634,34.465115999999995
E05000144,22.296
E05000137,5.978395
E05000140,21.73913
E05000129,65.543689
E05000138,63.050419999999995
E05000143,45.840579999999996
E05000130,25.092437
E05000131,17.527027
E05000141,65.728814
E05000132,14.74
E05000133,15.890323
E05000134,13.671429000000002
E05000135,7.838057000000001
E05000139,21.640777
E05000145,25.252874
E05000128,13.671053
E05000136,18.694444
E05000142,31.725926
E05009330,16.126667
E05009332,25.857143
E05009324,9.348684
E05009323,15.085366
E05009318,10.574468
E05009328,16.069444
E05009333,47.931818
E05009331,29.954128000000004
E05009317,24.479339000000003
E05009329,21.014492999999998
E05009327,19.177419
E05009325,9.939394
E05009322,12.014085000000001
E05009320,17.204545
E05009319,8.687831
E05009321,21.793103
E05009336,34.255102
E05009334,22.59375
E05009326,18.833333
E05009335,23.838235
E05000370,37.677083
E05000368,27.017544
E05000379,31.686047
E05000375,24.262626
E05000372,22.613861
E05000373,29.416666999999997
E05000381,16.493976
E05000367,44.0
E05000380,21.051948
E05000369,27.547619
E05000366,22.735632
E05000378,15.059524
E05000376,23.84
E05000371,36.265957
E05000374,14.865854
E05000377,24.641975
E05009377,38.504853999999995
E05009375,16.597701
E05009371,22.133333
E05009381,18.852941
E05009374,10.778481
E05009369,10.105769
E05009373,18.858491
E05009380,15.621359
E05009368,15.873239000000002
E05009383,11.2
E05009379,4.4051279999999995
E05009367,29.72549
E05009378,25.031746
E05009370,30.222222
E05009386,14.480519000000001
E05009372,29.820513000000002
E05009376,24.3125
E05009382,18.756098
E05009385,17.278351
E05009387,17.920455
E05009384,12.260869999999999
E05000272,8.207171
E05000271,23.237179
E05000270,6.3857870000000005
E05000267,17.086957
E05000269,8.110345
E05000279,16.9
E05000274,7.2098770000000005
E05000273,9.712963
E05000266,6.339695
E05000275,22.704918
E05000284,14.283783999999999
E05000277,11.697248
E05000278,14.622047
E05000280,25.457143
E05000282,10.882353
E05000281,15.473957999999998
E05000283,9.052325999999999
E05000268,16.139785
E05000276,10.521739
E05000491,5.412998
E05000477,13.119522
E05000475,4.65008
E05000482,4.541899
E05000492,28.018867999999998
E05000478,10.587912
E05000479,7.95098
E05000490,13.264706
E05000494,16.105263
E05000489,14.568420999999999
E05000484,13.1
E05000476,13.294737
E05000480,17.435644
E05000486,11.75
E05000485,11.635135
E05000481,14.933333
E05000493,7.614286
E05000483,8.685039
E05000488,11.625
E05000487,4.5752690000000005
E05000032,9.333333
E05000039,2.528517
E05000038,4.162921
E05000041,4.5514019999999995
E05000026,25.441860000000002
E05000035,8.902439
E05000031,7.0134229999999995
E05000033,5.47541
E05000036,5.455026
E05000028,6.0076339999999995
E05000027,7.797101
E05000040,8.159091
E05000034,5.287879
E05000042,6.4545449999999995
E05000030,3.600575
E05000029,3.6755949999999995
E05000037,5.447154
E09000001,90.80250799999999
